identifier,creator,title,date,downloads,venue
1999-10-23.paf.schoeps.unknown.5671.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at The Fillmore Auditorium on 1999-10-23,1999-10-23T00:00:00Z,4198,The Fillmore Auditorium
1999-10-27.paf.schoeps.phunk.5673.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at University Of Illinois on 1999-10-27,1999-10-27T00:00:00Z,19381,University Of Illinois
1999-10-29.paf.neumann.vernon.7828.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Miami University on 1999-10-29,1999-10-29T00:00:00Z,7037,Miami University
1999-10-30.paf.aud.darkstar.7614.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Milwaukee Arena on 1999-10-30,1999-10-30T00:00:00Z,3743,Milwaukee Arena
1999-10-31.paf.unknown.vernon.6417.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at University Of Illinois on 1999-10-31,1999-10-31T00:00:00Z,15028,University Of Illinois
1999-11-02.paf.aud.vernon.8107.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Breslin Center (Michigan State University) on 1999-11-02,1999-11-02T00:00:00Z,2883,Breslin Center (Michigan State University)
1999-11-02.paf.schoeps.vernon.8638.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Breslin Center (Michigan State University) on 1999-11-02,1999-11-02T00:00:00Z,4961,Breslin Center (Michigan State University)
1999-11-03.paf.aud.unknown.26776.sbeok.flacf,Phil Lesh and Friends,"Phil Lesh and Friends Live at Schottenstein Center, OSU on 1999-11-03",1999-11-03T00:00:00Z,3801,"Schottenstein Center, OSU"
1999-11-05.paf.neumann.vian.8231.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Pittsburgh Civic Arena on 1999-11-05,1999-11-05T00:00:00Z,3649,Pittsburgh Civic Arena
1999-11-05.sonyecm.bradh.26777.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Pittsburgh Civic Arena on 1999-11-05,1999-11-05T00:00:00Z,7653,Pittsburgh Civic Arena
1999-11-06.paf.coresound.unknown.21932.sbefail.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Bryce Jordan Center on 1999-11-06,1999-11-06T00:00:00Z,8851,Bryce Jordan Center
